namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	nr_13_votersreg	nr_13_votersvalid	nr_13_nevolici	nr_13_other	nr_13_kdh	nr_13_sns	nr_13_ol	nr_13_sas	nr_13_smer	nr_13_most	nr_13_sdku	nr_13_smk
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	645	169	487	12	62	60	35	656	361	295	40	23	25	35	17	188	6	27	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	905	226	683	18	64	116	28	909	499	410	67	22	32	65	22	255	7	29	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	866	220	646	19	68	80	53	864	556	310	69	25	32	47	33	290	13	46	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	928	235	702	44	78	92	21	937	506	431	54	33	37	43	30	259	9	41	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	734	233	507	39	46	111	37	740	489	251	56	42	22	53	27	221	10	58	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	612	166	450	18	49	74	25	616	364	252	60	22	18	35	18	189	4	18	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	728	152	576	17	50	59	26	725	417	311	58	25	23	41	23	206	9	32	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	745	219	530	24	52	99	44	749	441	308	68	19	28	52	23	215	10	26	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	225	629	51	74	78	22	843	395	459	46	36	24	23	33	207	1	24	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1041	234	811	21	105	74	34	1045	580	465	91	43	40	81	34	262	4	25	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1039	252	815	25	124	69	34	1067	602	465	125	29	21	94	45	253	8	27	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1020	259	761	26	129	71	33	951	519	501	83	38	34	62	45	207	6	43	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1012	221	797	29	118	49	25	1018	515	503	98	42	25	71	29	227	5	18	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	645	85	560	11	30	25	19	637	315	330	41	32	14	33	20	163	1	11	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	845	160	685	34	61	40	25	838	262	583	50	13	25	23	17	124	2	8	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	69	159	14	16	26	13	228	110	118	24	18	6	2	7	38	7	8	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	87	16	71	1	2	12	1	87	49	38	10	1	4	1	0	33	0	0	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	817	142	746	23	44	51	24	888	598	290	63	71	31	63	28	303	9	29	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	948	173	801	33	48	72	20	974	600	374	81	77	22	62	14	318	4	22	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1052	242	811	44	27	136	35	1053	565	488	73	66	19	64	44	267	11	21	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	11	43	0	1	10	0	54	43	11	3	2	2	0	2	29	2	2	1
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	93	122	13	20	59	1	212	128	87	18	4	13	5	1	84	1	2	0
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	92	135	7	5	71	9	225	144	83	8	1	1	2	0	3	62	1	66
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1154	180	974	23	32	85	40	1105	490	664	48	23	15	20	6	175	151	19	33
